"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"10825","然之(#11)","现金记账(#194)","","有记账设置权限的借贷信息编辑验证","已登录，进入现金记账借贷界面，有借贷信息交易时间为2018-11-30，账号为公司，交易为借贷，金额为￥222	，经手人为admin，状态为未还贷，记账日期为2018-11-30	，借贷信息里没有添加商户，在现金设置设置页面的权限设置选择必须选择商户","1. 点击编辑，点击保存
2. 点击编辑，修改金额为空，点击保存
3. 点击编辑，修改经手人为空，点击保存
4. 点击编辑，修改交易时间，点击保存
","1. 跳转到编辑页面，提示商户不能为空
2. 跳转到编辑页面，提示金额不能为空
3. 跳转到编辑页面，提示经手人不能为空
4. 跳转到编辑页面，提示保存成功
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-12-04","杨凯静","2018-12-06","1","",""
"10358","然之(#11)","现金记账(#194)","","交易信息的地标功能切换","已登录，处于现金记账页面，现金记账五种记账方式都存有信息","1. 点击菜单栏中收入、支出、转账、投资、借贷任意一个，点击查看，点击明细，点击保存，点击编辑，点击保存
2. 点击菜单栏中收入、支出、转账、投资、借贷任意一个，点击查看，点击返回
3. 点击菜单栏中收入、支出、转账、投资、借贷任意一个，点击查看，点击编辑，点击保存
","1. 跳转到对应界面，跳转到详情页面，出现明细编辑框，提示保存成功，返回详情页面，跳转到编辑页面，提示保存成功，跳转回对应菜单页面
2. 跳转到对应界面，跳转到详情页面，返回菜单信息页面
3. 跳转到对应界面，跳转到详情页面，出现信息的编辑框，提示保存成功，返回详情页面，跳转到编辑页面，提示保存成功，返回对应菜单页面
","","","3","功能测试","","正常","1","2","3","通过","杨凯静","2018-12-01","杨凯静","2018-12-04","3","",""
"10357","然之(#11)","现金记账(#194)","","编辑中进行其他操作功能验证","已登录，处于现金记账页面，现金记账五种记账方式都存有信息","1. 点击菜单栏中收入、支出、转账、投资、借贷任意一个
2. 点击其中任意一个信息的编辑
3. 点击首页
4. 点击菜单栏对应的菜单模块选择
","1. 跳转到对应界面
2. 出现信息编辑框
3. 跳转到首页页面
4. 跳转回菜单栏的对应界面，编辑的信息没有发生变化
","","","3","功能测试","","正常","0","2","4","通过","杨凯静","2018-12-01","杨凯静","2018-12-04","2","",""
"10356","然之(#11)","现金记账(#194)","","错别字查看","已登录，进入现金记账页面","1. 点击各个页面查看功能选项是否有错别字
","1. 没有错别字
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10355","然之(#11)","现金记账(#194)","","反复编辑功能验证","已登录，处于现金记账页面，现金记账五种记账方式都存有信息","1. 点击菜单栏中收入、支出、转账、投资、借贷任意一个
2. 点击其中任意一个信息的编辑并保存
3. 进行10次
","1. 跳转到对应页面
2. 提示保存成功
3. 提示保存成功
","","","3","功能测试","","正常","1","2","3","通过","杨凯静","2018-12-01","杨凯静","2018-12-04","2","",""
"10354","然之(#11)","现金记账(#194)","","连续点击现金记账验证","已登录","1. 点击现金记账5次
","1. 反映正常
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10353","然之(#11)","现金记账(#194)","","遍历现金记账菜单栏选项","已登录，进入现金记账模块","1. 依次点击上方菜单栏中的功能选项首页、所有、收入、支出、转账、投资、借贷、报表、账户、供应商、设置
","1. 功能选项间切换没有问题
","","","3","功能测试","","正常","0","1","1","阻塞","杨凯静","2018-12-01","杨凯静","2018-12-06","4","",""
"10352","然之(#11)","现金记账(#194)","","记账设置与收入支出关联测试","已登录，记账设置没有勾选必须选择产品，收入和支出页面分别存在收入、支出信息","1. 点击现金记账的设置
2. 点击记账设置
3. 勾选必须选择产品
4. 点击保存
5. 点击收入或支出
6. 点击任意一条收入或支出信息的编辑
","1. 跳转到设置页面
2. 跳转到记账设置页面
3. 
4. 提示保存成功
5. 
6. 跳转到编辑页面，产品变为必选项
","","","3","功能测试","","正常","0","2","6","通过","杨凯静","2018-12-01","杨凯静","2018-12-06","3","",""
"10351","然之(#11)","现金记账(#194)","","区块与供应商关联测试","已登录，首页存在供应商区块","1. 点击供应商
2. 点击任意一条供应商信息删除
3. 确定删除
4. 点击首页
","1. 跳转到供应商页面
2. 提示是否确定删除
3. 供应商信息删除成功
4. 首页对应供应商区块内容减少
","1. 
2. 
3. 
4. 
","","3","功能测试","","正常","1","1","4","失败","杨凯静","2018-12-01","杨凯静","2018-12-04","2","",""
"10350","然之(#11)","现金记账(#194)","","返回桌面跳转验证","已登录，在除我的地盘页面以外任意的功能页面上","1. 点击桌面
","1. 返回到我的地盘页面
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-12-01","杨凯静","2018-12-04","1","",""
