"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"11587","然之(#11)","探索式--现金记账(#370)","","（破坏）探索添加记账信息时重启电脑","","1. 探索添加记账信息操作流，添加记账信息时重启电脑，以图发现记账信息是否添加成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-20","","0000-00-00","1","",""
"11586","然之(#11)","探索式--现金记账(#370)","","（破坏）探索电量不足式的软件功能","","1. 探索现金记账页面的菜单栏功能，在电脑电量不足时进行菜单栏上的任意操作，以图发现功能能否正常执行
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-20","","0000-00-00","1","",""
"11585","然之(#11)","探索式--现金记账(#370)","","（破坏）探索内存不足时软件的运行","","1. 探索软件的运行，在电脑内存不足时对现金记账页面进行操作，以图发现软件能否正常运行
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-20","","0000-00-00","1","",""
"11584","然之(#11)","探索式--现金记账(#370)","","(取消)探索签退功能","","1. 探索签退功能，点击签退后点击右上角的刷新，以图发现是否签退
2. 探索签退功能，点击签退后点击左上角的刷新，以图发现是否签退
3. 探索签退功能，点击签退后关闭浏览器再次打开网页，以图发现现金记账页面的功能是否正常运行
","1. 
2. 
3. 
","1. 
2. 点击签退后左上角不存在刷新
3. 
","","3","其他","","正常","1","1","3","失败","杨凯静","2018-12-20","","0000-00-00","1","",""
"11583","然之(#11)","探索式--现金记账(#370)","","（取消）探索编辑功能的后退","已登录，现金记账页面菜单栏的收入、支出、转账、投资、借贷页面都有对应的交易信息","1. 探索编辑，进入交易信息的编辑后点击浏览器的后退，以图发现编辑是否进行
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-20","杨凯静","2018-12-20","1","",""
"11582","然之(#11)","探索式--现金记账(#370)","","（取消）探索删除功能","已登录，现金记账页面菜单栏的收入、支出、转账、投资、借贷页面都有对应的交易信息","1. 探索删除功能，对交易信息进行删除时取消，以图发现功能是否正常
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-20","杨凯静","2018-12-20","1","",""
"11581","然之(#11)","探索式--现金记账(#370)","","（测一送一）探索账号盈亏表的导出","","1. 探索账号盈亏表，在导出账号盈亏表时点击刷新，以图发现能否导出账号盈亏表
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-20","","0000-00-00","1","",""
"11580","然之(#11)","探索式--现金记账(#370)","","（超模）探索菜单栏功能页","","1. 探索横向菜单栏上的文字，点击横向菜单栏上的文字后对跳转的页面
查看，以图发现页面布局是否合理、美观、便于理解
2. 探索横向菜单栏上的文字，点击横向菜单栏上的文字后对跳转的页面
查看，以图发现页面布局是否存在错别字、是否风格统一
","1. 
2. 
","","","3","其他","","正常","0","1","2","通过","杨凯静","2018-12-20","杨凯静","2018-12-20","2","",""
"11579","然之(#11)","探索式--现金记账(#370)","","（收藏家）探索添加供应商","","1. 探索添加供应商，使用快捷键组合Tab+▼▲+Enter进行输入，以图发现能否添加成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-20","杨凯静","2018-12-21","3","",""
"11578","然之(#11)","探索式--现金记账(#370)","","(收藏家)探索设置输入框","","1. 探索设置输入框，使用快捷键的输入组合Tab+▼▲+Enter进行添加输入，以图发现快捷键是否对输入框造成影响
2. 探索设置输入框，使用空值进行添加输入，以图发现是否对输入造成影响
3. 探索设置输入框，使用不同的字符进行进行添加输入，以图发现是否对输入框造成影响
","1. 
2. 
3. 
","","","3","其他","","正常","0","1","3","通过","杨凯静","2018-12-20","杨凯静","2018-12-20","2","",""
"11526","然之(#11)","探索式--现金记账(#370)","","（通宵）探索删除交易信息功能","已登录，现金记账页面菜单栏的收入、支出、转账、投资、借贷页面都有对应的交易信息","1. 探索删除交易信息功能，反复删除并取消删除交易信息，以图发现交易信息是否存在
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","1","",""
"11525","然之(#11)","探索式--现金记账(#370)","","（通宵）探索编辑交易信息功能","已登录，现金记账页面菜单栏的收入、支出、转账、投资、借贷页面都有对应的交易信息","1. 探索编辑交易信息功能，反复编辑保存交易信息，以图发现，交易信息是否存在
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","1","",""
"11524","然之(#11)","探索式--现金记账(#370)","","（深巷）查看官方链接","","1. 探索官方提供的的链接，点击头像的关于之后，点击官方网站，以图发现能否跳转链接
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
"11522","然之(#11)","探索式--现金记账(#370)","","（配角）探索更换字体类型功能","","1. 探索更换字体类型，更换字体类型后 ，以图发现字体类型是否正常转换并保持
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","","0000-00-00","1","",""
"11521","然之(#11)","探索式--现金记账(#370)","","（配角）功能页面的关闭功能","","1. 探索现金记账页面的关闭功能，进行任意操作后点击横向菜单栏右边的关闭，以图发现操作是否正常运行
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
"11520","然之(#11)","探索式--现金记账(#370)","","（配角）功能页面的最小化功能","","1. 探索现金记账页面的最小化功能，进行任意操作后点击横向菜单栏右边的最小化，以图发现操作是否正常运行
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
"11519","然之(#11)","探索式--现金记账(#370)","","（配角）功能页面的刷新功能","","1. 探索现金记账页面的刷新功能，对任意操作后点击横向菜单栏右边的刷新，以图发现操作是否正常运行
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
